*1password*,1password,1password
*command-line*,1password,command-line
*connect*,1password,connect
*scim*,1password,scim
*a2ps*,gnu,a2ps
*adns*,gnu,adns
*anubis*,gnu,anubis
*aspell*,gnu,aspell
*automake*,gnu,automake
*bash*,gnu,bash
*binutils*,gnu,binutils
*bison*,gnu,bison
*cfengine*,gnu,cfengine
*cflow*,gnu,cflow
*chess*,gnu,chess
*classpath*,gnu,classpath
*coreutils*,gnu,coreutils
*cpio*,gnu,cpio
*cvs*,gnu,cvs
*ed*,gnu,ed
*eglibc*,gnu,eglibc
*emacs*,gnu,emacs
*enscript*,gnu,enscript
*escript*,gnu,escript
*exosip*,gnu,exosip
*fileutils*,gnu,fileutils
*findutils*,gnu,findutils
*fingerd*,gnu,fingerd
*flim*,gnu,flim
*fribidi*,gnu,fribidi
*g\+\+*,gnu,g\+\+
*gama*,gnu,gama
*gcc*,gnu,gcc
*gdb*,gnu,gdb
*gettext*,gnu,gettext
*gimp*,gnu,gimp
*glibc*,gnu,glibc
*global*,gnu,global
*gnash*,gnu,gnash
*gnats*,gnu,gnats
*gnubiff*,gnu,gnubiff
*gnulib*,gnu,gnulib
*gnumail*,gnu,gnumail
*gnumeric*,gnu,gnumeric
*gnump3d*,gnu,gnump3d
*gnusound*,gnu,gnusound
*gnutls*,gnu,gnutls
*gpgme*,gnu,gpgme
*grep*,gnu,grep
*groff*,gnu,groff
*grub*,gnu,grub
*grub2*,gnu,grub2
*guile*,gnu,guile
*guix*,gnu,guix
*guixsd*,gnu,guixsd
*gv*,gnu,gv
*gzip*,gnu,gzip
*hurd*,gnu,hurd
*ibackup*,gnu,ibackup
*iceweasel*,gnu,iceweasel
*inet*,gnu,inet
*inetutils*,gnu,inetutils
*ksymoops*,gnu,ksymoops
*less*,gnu,less
*libc*,gnu,libc
*libcdio*,gnu,libcdio
*libextractor*,gnu,libextractor
*libgfortran*,gnu,libgfortran
*libiberty*,gnu,libiberty
*libidn*,gnu,libidn
*libidn2*,gnu,libidn2
*libmicrohttpd*,gnu,libmicrohttpd
*libredwg*,gnu,libredwg
*libssp*,gnu,libssp
*libtasn1*,gnu,libtasn1
*libtool*,gnu,libtool
*libtool-ltdl*,gnu,libtool-ltdl
*lsh*,gnu,lsh
*m4*,gnu,m4
*mailman*,gnu,mailman
*mailutils*,gnu,mailutils
*make*,gnu,make
*nano*,gnu,nano
*ncurses*,gnu,ncurses
*osip*,gnu,osip
*parallel*,gnu,parallel
*patch*,gnu,patch
*phpbook*,gnu,phpbook
*pspp*,gnu,pspp
*punbb*,gnu,punbb
*queue*,gnu,queue
*radius*,gnu,radius
*readline*,gnu,readline
*recutils*,gnu,recutils
*rsync*,gnu,rsync
*rush*,gnu,rush
*sccs*,gnu,sccs
*screen*,gnu,screen
*serveez*,gnu,serveez
*sharutils*,gnu,sharutils
*tar*,gnu,tar
*texinfo*,gnu,texinfo
*tramp*,gnu,tramp
*userv*,gnu,userv
*wget*,gnu,wget
*xemacs*,gnu,xemacs
*zebra*,gnu,zebra
*zlib*,gnu,zlib
*gnuboard5*,gnuboard,gnuboard5
*gnunet*,gnunet,gnunet
*gnupg*,gnupg,gnupg
*gpgme*,gnupg,gpgme
*libgcrypt*,gnupg,libgcrypt
*libksba*,gnupg,libksba
*vs-desktop*,gnupg,vs-desktop
*gnutls*,gnutls,gnutls
*.net*,microsoft,.net
*365*,microsoft,365
*access*,microsoft,access
*activesync*,microsoft,activesync
*activex*,microsoft,activex
*adam*,microsoft,adam
*ampx*,microsoft,ampx
*antigen*,microsoft,antigen
*antispyware*,microsoft,antispyware
*asp.net*,microsoft,asp.net
*aspnetcore*,microsoft,aspnetcore
*autoupdate*,microsoft,autoupdate
*autoupdater*,microsoft,autoupdater
*azure*,microsoft,azure
*azure-umqtt-c*,microsoft,azure-umqtt-c
*backoffice*,microsoft,backoffice
*bing*,microsoft,bing
*binwalk*,microsoft,binwalk
*bond*,microsoft,bond
*cabarc*,microsoft,cabarc
*capicom*,microsoft,capicom
*chakracore*,microsoft,chakracore
*clarity*,microsoft,clarity
*codeql*,microsoft,codeql
*directx*,microsoft,directx
*edge*,microsoft,edge
*entourage*,microsoft,entourage
*excel*,microsoft,excel
*exchange*,microsoft,exchange
*frontpage*,microsoft,frontpage
*fslogix*,microsoft,fslogix
*gdi\+*,microsoft,gdi\+
*gdiplus*,microsoft,gdiplus
*greetings*,microsoft,greetings
*groove*,microsoft,groove
*grpconv*,microsoft,grpconv
*hotmail*,microsoft,hotmail
*identitymodel*,microsoft,identitymodel
*ie*,microsoft,ie
*iis*,microsoft,iis
*infopath*,microsoft,infopath
*interix*,microsoft,interix
*jet*,microsoft,jet
*jscript*,microsoft,jscript
*jupyter*,microsoft,jupyter
*lync*,microsoft,lync
*microsoft.aspnetcore.mvc*,microsoft,microsoft.aspnetcore.mvc
*microsoft.aspnetcore.mvc.abstractions*,microsoft,microsoft.aspnetcore.mvc.abstractions
*microsoft.aspnetcore.mvc.apiexplorer*,microsoft,microsoft.aspnetcore.mvc.apiexplorer
*microsoft.aspnetcore.mvc.core*,microsoft,microsoft.aspnetcore.mvc.core
*microsoft.aspnetcore.mvc.cors*,microsoft,microsoft.aspnetcore.mvc.cors
*microsoft.aspnetcore.mvc.dataannotations*,microsoft,microsoft.aspnetcore.mvc.dataannotations
*microsoft.aspnetcore.mvc.formatters.json*,microsoft,microsoft.aspnetcore.mvc.formatters.json
*microsoft.aspnetcore.mvc.formatters.xml*,microsoft,microsoft.aspnetcore.mvc.formatters.xml
*microsoft.aspnetcore.mvc.localization*,microsoft,microsoft.aspnetcore.mvc.localization
*microsoft.aspnetcore.mvc.razor*,microsoft,microsoft.aspnetcore.mvc.razor
*microsoft.aspnetcore.mvc.razor.host*,microsoft,microsoft.aspnetcore.mvc.razor.host
*microsoft.aspnetcore.mvc.taghelpers*,microsoft,microsoft.aspnetcore.mvc.taghelpers
*microsoft.aspnetcore.mvc.viewfeatures*,microsoft,microsoft.aspnetcore.mvc.viewfeatures
*microsoft.aspnetcore.mvc.webapicompatshim*,microsoft,microsoft.aspnetcore.mvc.webapicompatshim
*microsoft.data.odata*,microsoft,microsoft.data.odata
*microsoft.powershell.archive*,microsoft,microsoft.powershell.archive
*modernflow*,microsoft,modernflow
*money*,microsoft,money
*mono*,microsoft,mono
*ms-rest-nodeauth*,microsoft,ms-rest-nodeauth
*msde*,microsoft,msde
*netmeeting*,microsoft,netmeeting
*nuget*,microsoft,nuget
*nugetgallery*,microsoft,nugetgallery
*odbc*,microsoft,odbc
*office*,microsoft,office
*onedrive*,microsoft,onedrive
*onefuzz*,microsoft,onefuzz
*onenote*,microsoft,onenote
*outlook*,microsoft,outlook
*outlook.com*,microsoft,outlook.com
*photos*,microsoft,photos
*plus*,microsoft,plus
*powerpoint*,microsoft,powerpoint
*powershell*,microsoft,powershell
*powershellget*,microsoft,powershellget
*producer*,microsoft,producer
*project*,microsoft,project
*psexec*,microsoft,psexec
*psgetsid*,microsoft,psgetsid
*psinfo*,microsoft,psinfo
*pskill*,microsoft,pskill
*pslist*,microsoft,pslist
*psloglist*,microsoft,psloglist
*pspasswd*,microsoft,pspasswd
*psservice*,microsoft,psservice
*psshutdown*,microsoft,psshutdown
*pssuspend*,microsoft,pssuspend
*publisher*,microsoft,publisher
*qlib*,microsoft,qlib
*remote*,microsoft,remote
*server*,microsoft,server
